|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 11.5|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 19.6|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 30.8|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 4.4|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 20.3|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 0.1|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 11.7|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 42.3|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 68.7|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 51.2|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 3.8|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 54|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 3.2|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 0.2|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 0.6|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 20.1|
|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 22.9|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 65.2|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 26.1|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 74.9|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 0.1|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.5|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 10.7|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 3.7|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 3|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 76.1|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 70.6|
