|{|Method, Nearest Neighbor|, |Data Augmentation, -|, |Dataset, CUB|}, 5-way-1-shot accuracy, 79.00|
|{|Method, Nearest Neighbor|, |Data Augmentation, -|, |Dataset, NAB|}, 5-way-1-shot accuracy, 80.58|
|{|Method, Logistic Regression|, |Data Augmentation, -|, |Dataset, CUB|}, 5-way-1-shot accuracy, 81.17|
|{|Method, Logistic Regression|, |Data Augmentation, -|, |Dataset, NAB|}, 5-way-1-shot accuracy, 82.70|
|{|Method, Softmax Regression|, |Data Augmentation, -|, |Dataset, CUB|}, 5-way-1-shot accuracy, 80.77|
|{|Method, Softmax Regression|, |Data Augmentation, -|, |Dataset, NAB|}, 5-way-1-shot accuracy, 82.38|
|{|Method, ProtoNet|, |Data Augmentation, -|, |Dataset, CUB|}, 5-way-1-shot accuracy, 81.73|
|{|Method, ProtoNet|, |Data Augmentation, -|, |Dataset, NAB|}, 5-way-1-shot accuracy, 87.91|
|{|Method, ProtoNet|, |Data Augmentation, FinetuneGAN|, |Dataset, CUB|}, 5-way-1-shot accuracy, 79.40|
|{|Method, ProtoNet|, |Data Augmentation, FinetuneGAN|, |Dataset, NAB|}, 5-way-1-shot accuracy, 85.40|
|{|Method, ProtoNet|, |Data Augmentation, Flip|, |Dataset, CUB|}, 5-way-1-shot accuracy, 82.66|
|{|Method, ProtoNet|, |Data Augmentation, Flip|, |Dataset, NAB|}, 5-way-1-shot accuracy, 88.55|
|{|Method, ProtoNet|, |Data Augmentation, Gaussian|, |Dataset, CUB|}, 5-way-1-shot accuracy, 81.75|
|{|Method, ProtoNet|, |Data Augmentation, Gaussian|, |Dataset, NAB|}, 5-way-1-shot accuracy, 87.90|
|{|Method, MetaIRNet (Ours)|, |Data Augmentation, FinetuneGAN|, |Dataset, CUB|}, 5-way-1-shot accuracy, 84.13|
|{|Method, MetaIRNet (Ours)|, |Data Augmentation, FinetuneGAN|, |Dataset, NAB|}, 5-way-1-shot accuracy, 89.19|
|{|Method, MetaIRNet (Ours)|, |Data Augmentation, FinetuneGAN, Flip|, |Dataset, CUB|}, 5-way-1-shot accuracy, 84.80|
|{|Method, MetaIRNet (Ours)|, |Data Augmentation, FinetuneGAN, Flip|, |Dataset, NAB|}, 5-way-1-shot accuracy, 89.57|
