|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, LFW, 99.83|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, CFP, 98.40|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, AgeDb-30, 98.33|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, CALFW, 96.13|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, CPLFW, 93.22|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, IJB-C, 96.50|
|{|Model, ResNet100|, |Quantization, -|, |Parameter Size, 65.2M|, |Bit, FP32|, |Size (MB), 261.22|}, IJB-B, 95.25|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, LFW, 99.80|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, CFP, 98.31|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, AgeDb-30, 98.13|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, CALFW, 96.05|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, CPLFW, 92.92|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, IJB-C, 96.38|
|{|Model, ResNet100|, |Quantization, Real data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, IJB-B, 95.13|
|{|Model, ResNet100|, |Quantization, Synthetic data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, LFW, 99.80|
|{|Model, ResNet100|, |Quantization, Synthetic data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, CFP, 98.14|
|{|Model, ResNet100|, |Quantization, Synthetic data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, AgeDb-30, 97.95|
|{|Model, ResNet100|, |Quantization, Synthetic data|, |Parameter Size, 65.2M|, |Bit, w8a8|, |Size (MB), 65.31|}, CALFW, 96.02|
