|{|Item, Apple|, |Instance, 12|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 27/30|
|{|Item, Apple|, |Instance, 12|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 17/30|
|{|Item, Apple|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 28/30|
|{|Item, Apple|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 20/30|
|{|Item, Apple|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 29/30|
|{|Item, Apple|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 24/30|
|{|Item, Banana|, |Instance, 6|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 27/30|
|{|Item, Banana|, |Instance, 6|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 17/30|
|{|Item, Banana|, |Instance, 6|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 29/30|
|{|Item, Banana|, |Instance, 6|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 18/30|
|{|Item, Banana|, |Instance, 6|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Banana|, |Instance, 6|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 21/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 12/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 15/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Strawberry|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 17/30|
|{|Item, Orange|, |Instance, 6|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 26/30|
|{|Item, Orange|, |Instance, 6|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 15/30|
|{|Item, Orange|, |Instance, 6|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 28/30|
|{|Item, Orange|, |Instance, 6|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 18/30|
|{|Item, Orange|, |Instance, 6|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Orange|, |Instance, 6|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 22/30|
|{|Item, Peach|, |Instance, 8|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 27/30|
|{|Item, Peach|, |Instance, 8|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 15/30|
|{|Item, Peach|, |Instance, 8|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 28/30|
|{|Item, Peach|, |Instance, 8|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 18/30|
|{|Item, Peach|, |Instance, 8|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 29/30|
|{|Item, Peach|, |Instance, 8|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 20/30|
|{|Item, Plum|, |Instance, 12|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 29/30|
|{|Item, Plum|, |Instance, 12|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 17/30|
|{|Item, Plum|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Plum|, |Instance, 12|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 19/30|
|{|Item, Plum|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 30/30|
|{|Item, Plum|, |Instance, 12|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 22/30|
|{|Item, Total|, |Instance, 56|, |Setting, Real-only|, |Task, Labelling|}, Sorting success rate, 92.2%|
|{|Item, Total|, |Instance, 56|, |Setting, Real-only|, |Task, Grasping|}, Sorting success rate, 51.2%|
|{|Item, Total|, |Instance, 56|, |Setting, CP-Hybrid|, |Task, Labelling|}, Sorting success rate, 96.1%|
|{|Item, Total|, |Instance, 56|, |Setting, CP-Hybrid|, |Task, Grasping|}, Sorting success rate, 60%|
|{|Item, Total|, |Instance, 56|, |Setting, Gen-Hybrid|, |Task, Labelling|}, Sorting success rate, 98.9%|
|{|Item, Total|, |Instance, 56|, |Setting, Gen-Hybrid|, |Task, Grasping|}, Sorting success rate, 70%|
