|{|Model, DeepSeek LLM 67B Chat|, |Model Size, 67B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 53.2|
|{|Model, Phi-3-Mini-4K-Instruct|, |Model Size, 3.8B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 68.3|
|{|Model, Yi-1.5-34B-Chat|, |Model Size, 34B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 70.4|
|{|Model, Qwen1.5-72B-Chat|, |Model Size, 72B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 60.7|
|{|Model, Qwen1.5-110B-Chat|, |Model Size, 110B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 73.0|
|{|Model, Qwen2-7B-Instruct|, |Model Size, 7B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 72.1|
|{|Model, Qwen2-72B-Instruct|, |Model Size, 72B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 77.2|
|{|Model, Llama-3-8B-Instruct|, |Model Size, 8B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 39.8|
|{|Model, Llama-3-70B-Instruct|, |Model Size, 70B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 63.5|
|{|Model, gpt-4-turbo-2024-04-09|, |Model Size, ?|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 88.1|
|{|Model, gpt-4o-2024-05-13|, |Model Size, ?|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 91.2|
|{|Model, Qwen2-7B (fine-tuned w/ the 1.07M synthesized instances)|, |Model Size, 7B|, |Dataset, 11.6K synthetic test instances|}, Accuracy, 79.4|
