id,left_,right_
0_-677059118988559369_7871124502466332471,"Royal Gold, Inc.",Royal Gold
1_3069836065259533601_3797527878498820094,Nintendo Co Ltd,Nintendo
2_-7935149965786111916_1464172733272256176,Jizhong Energy Resources,Jizhong Energy Resources Co Ltd
3_-7669019039903619935_-1092758960602825576,Nippon Electric Glass,"Nippon Electric Glass Co., Ltd."
4_9015137207162406146_5300163473889123024,Haohua Chemical Science & Technology,Haohua Chemical Science & Technology Corp Ltd
5_268398346807428142_-4562082499264432077,Itaú Corpbanca,Itau Corpbanca
9_-2573976678283160561_-2573976678283160561,Xpel,Xpel
10_1255766273348232180_-641247104836293132,"VEOLIA NORTH AMERICA, LLC","VEOLIA NORTH AMERICA, INC."
11_6910983596518635160_1423121007473187960,Société Générale,Societe Generale SA
12_5806452531258852205_3766648105323024171,Taiwan Mobile Co Ltd,Taiwan Mobile
13_5374999252532006213_-7963360395679735085,Renasant Corp,Renasant Corporation
14_2096261089528392157_-1539178638152738760,Lundin Gold Inc.,Lundin Gold
15_-3175579446120239382_-2717736081510562572,Amazon.com,AMAZON.COM SERVICES LLC
16_-7427526895522584085_-7427526895522584085,COMPAGNIA AEREA ITALIANA SPA,COMPAGNIA AEREA ITALIANA SPA
17_3054676043726403931_3054676043726403931,Trapizzino,Trapizzino
18_6829717895231187924_6802916476448646801,Mekonomen AB,Mekonomen Ab (publ)
19_5000831071958277728_-1112501889698398159,Saudi Arabian Mining Company (ma'aden),Saudi Arabian Mining
20_-7740268466125759192_-2927563270888358811,Jil Sander,JIL SANDER SPA
21_-7511293071941843904_-6094823638107983407,Kokuyo,Kokuyo Co. Ltd
22_1049792437620230430_7492566884542777203,Texas Instruments,Texas Instruments Inc
23_2076803898503774024_5957629261726448896,Grendene SA,Grendene
24_4401643452818572048_4401643452818572048,Kiocl,Kiocl
28_-5457920863613025300_4146596072455564481,AT&T,At&t
31_3401583212609868164_-3891785593841867733,Centamin,Centamin plc
32_4893515912681936316_6116736319761574367,PT Hanjaya Mandala Sampoerna Tbk,Hanjaya Mandala Sampoerna Tbk PT
33_-9111281936166569736_5636980009351097499,Landis+gyr,Landis+Gyr Group AG
34_-5237273072853840712_2223769552214978828,Acer,"Acer, Inc."
35_-1061554078343803652_979599962657113233,Workday,Workday Careers
36_-6485716497140752808_-6485716497140752808,Elisa Oyj,Elisa Oyj
37_6782658615392987891_8605617576414282828,Extra Space Storage Inc,Extra Space Storage
38_4267480225726668313_2853834959009212427,Essentra plc,Essentra
39_1279252196474111367_-4483961744193716919,Amundi,Amundi SA
40_-8065094858458711430_-8065094858458711430,Union Bank of India,Union Bank of India
42_7054404238818510217_-8587738054048188719,dormakaba Holding AG,Dormakaba
43_7056943756410132438_6647563672378054473,Nec Networks & System Integration Corporation,NEC Networks & System Integration Corp
44_-5870204135995940126_373393517334951490,Divido,Divido Financial Services
46_-1522195201058688279_-7501790035055368489,General Dynamics,General Dynamics Corporation
47_513940807298523104_-3006075957754491187,MRC Global Inc,Mrc Global
48_1583398526183408541_4785763985088321745,Corbion N.V.,Corbion
49_-4383205509737114171_-4383205509737114171,Kar Auction Services,Kar Auction Services
51_-6545855453441719176_-6808489304561959548,Deutsche Bank Spa,Deutsche Bank AG
54_327531106356167830_2239816601534201654,OVH Groupe SAS,OVH
55_-4650323888602426564_5376227696964512760,"EVERBRIDGE, INC.",Everbridge
56_7738905135677670141_-8101904599493871611,First Solar,First Solar Inc
57_8755930621089934357_3385242761101824700,Nayax Ltd.,Nayax Ltd
59_-1185482375556234174_-4796612236883740779,Molnlycke Health Care AB,Mölnlycke Health Care
60_816500807487729969_-6676231191577564627,Aac Technologies Holdings,AAC TECHNOLOGIES HOLDINGS INC
61_5166521909948285826_-2680223914028254098,Oracle Corporation,Oracle
62_-8564028525407415868_-5777286902123955544,HEXO Corp.,Hexo
63_1066534802980401449_8449778923041351486,"Cheniere Energy, Inc.",Cheniere Energy Partners LP
64_7507211584674602832_-6665676708192038060,Warner Bros. Discovery,Warner Bros. Discovery Inc
