id,left_,right_
0_6862054322064320773_-2599834508347381501,"Acer, Inc.",Acer
2_-3563824330316779045_-7115332855295634640,"Nippon Electric Glass Co., Ltd.",Nippon Electric Glass
5_171985926397339895_7956229737792403248,Centamin plc,Centamin
6_-4728372296614115102_6565429748501513933,Prada S.p.A.,Prada
7_-606442943020559425_8875611341076799107,Nintendo Co Ltd,Nintendo
8_-2928140123955362808_-5579114793648574340,"Royal Gold, Inc.",Royal Gold
9_-4971312475907870152_-6172111299814224425,Alkermes Plc,Alkermes
10_1439271725986022623_-4074105129249448899,Nec Networks & System Integration Corporation,NEC Networks & System Integration Corp
12_-3224550690352366520_-8057170728827302779,"Option Care Health, Inc.",Option Care Health
14_-9127664151333438894_-6583534974387941703,dormakaba Holding AG,Dormakaba
15_891359439622395611_-7008166344713777007,Corporacion America Airports,Corporación América Airports
17_-8971191376691903465_7428635138952362585,Landis+Gyr Group AG,Landis+gyr
18_4629034303216078413_4387646630953069102,Extra Space Storage,Extra Space Storage Inc
20_-8027301535117813997_3007250900279982657,Hana,Hana Financial Group
21_1643320550588506625_-18795220459676254,Ashtead Group,ASHTEAD GROUP PUBLIC LIMITED COMPANY
22_1596112559173895912_368967158083408309,Castellum Ab (publ),Castellum
23_-1453182497721794631_1400261735910838904,Itau Corpbanca,Itaú Corpbanca
24_-7239258633605499117_-4334230521926431304,Ternium Argentina SA,Ternium Argentina
25_9000865077701054398_-4984409974762708262,Renasant Corporation,Renasant Corp
26_4581455580375312221_7994155050293368825,MindMaze,Mindmaze
28_2956087258303524872_-7619199578208150725,Taiwan Mobile Co Ltd,Taiwan Mobile
29_-9022727372615754876_5342570057279280237,"Reinsurance Group of America, Incorporated",Reinsurance Group of America
30_-4318607551188229767_-1594026772645465494,Aurora Cannabis,Aurora Cannabis Inc.
31_4145928868986073531_3533595457506383491,Apartment Income REIT Corp.,Apartment Income Reit
32_6808558581476771459_-7673373545957967075,Spotify Technology SA,Spotify Technology
33_7010939830563992586_3113492533909879384,Amundi SA,Amundi
34_3129618842064093152_-105282462834687531,North China Pharmaceutical Co Ltd,North China Pharmaceutical Company. Ltd
35_-5571234294807200541_-8738174944121361665,Creepy Jar,Creepy Jar SA
36_6859317388470541587_6859317388470541587,CITIZENM LONDON BANKSIDE OPERATIONS B.V.,CITIZENM LONDON BANKSIDE OPERATIONS B.V.
37_-886861281875918800_658124008078447403,Service Stream Limited,Service Stream Ltd
38_1626529626620148327_200713887261663121,Schnitzer Steel,"Schnitzer Steel Industries, Inc."
40_-5459334878797052875_5791491083799167824,Nayax Ltd.,Nayax Ltd
42_-8235204662429519111_5134606297996501693,Kajima Corp,Kajima Corporation
43_3341271559080929439_-8924870751139575304,JL Mag Rare-Earth Co. Ltd,Jl Mag Rare-earth
44_8072015145503284297_-6788989807478717036,Under Armour,"Under Armour, Inc."
45_-6668366967588837771_-7197711937249785991,Ionis Pharmaceuticals,"Ionis Pharmaceuticals, Inc."
46_-9164590048603988028_-9164590048603988028,GIORGIO GORI SRL,GIORGIO GORI SRL
47_-4874899245264978652_-4874899245264978652,Kar Auction Services,Kar Auction Services
48_7401238406277168364_-3106783120233295173,Oracle,Oracle Corporation
49_-2758788523744108925_5086647983215595882,AAC TECHNOLOGIES HOLDINGS INC,Aac Technologies Holdings
51_2702790700804349547_2255142904447145153,New China Life Insurance,New China Life Insurance Company
54_4308068362115611365_3274126900495508810,Kinder Morgan Inc,Kinder Morgan
55_-5300413643998511188_5056533377860598247,Twitter Inc,Twitter
56_-6254807124941263996_-7411776735138272778,Shanghai Maling Aquarius Co Ltd,Shanghai Maling Aquarius
57_1683994584943873637_2054832007013412427,Xiaomi,Xiaomi Corporation
58_74739401410945208_-7569282940009907101,At&t,AT&T
59_-4022283398955559471_3747213773838385875,Société Générale,Societe Generale SA
60_3342308244995498625_7989712318400305034,Warner Bros. Discovery,Warner Bros. Discovery Inc
61_8249904661063653044_7282347748494441051,ALL ABOUT CRAFTS LIMITED,ALL ABOUT CRAFTS TRADE LIMITED
62_1922540339098787824_1922540339098787824,China Merchants Bank,China Merchants Bank
63_-3710557186205708231_-3710557186205708231,WATCHTOWER SECURITY SOLUTIONS UNITED KINGDOM LIMITED,WATCHTOWER SECURITY SOLUTIONS UNITED KINGDOM LIMITED
64_7827744610611431055_7827744610611431055,Elisa Oyj,Elisa Oyj
65_-2556766563943310994_1234096190987841536,Kraft Heinz,Kraft Heinz Company
